אֵב	ev
ח־שׁ־ב	kh-sh-v
חֻשַּׁב	khushav
חֶשְׁבּוֹן	kheshbon
חֶשְׁבּוֹן אִינְפִינִיטֶסִימָלִי	kheshbon infinitesimali
חֶשְׁבּוֹן דִּיפֶרֶנְצְיָאלִי וְאִינְטֶגְרָלִי	kheshbon diferentsyali vintegrali
חָשׁוּב	khashuv
חָשׁוּד	khashud
חֶשְׁוָן	kheshvan
חֹשֶׁךְ	choshekh
חַשְׁמוֹנַאי	khashmonai
חַשְׁמַלִּי	khashmali
חַשְׁמַלִּית	khashmalit
חַשְׁמָן	khashman
חָשַׂף	khasaf
חֵשֶׁק	kheshek
חָתוּל	khatul
חֲתוּלָה	khatula
חֲתוּלִים	khatulim
חָתִיךְ	hatich
חֲתִיכָה	khatikha
חֲתִיכַת	hatichat
חֲתִימָה	khatima
חֲתָךְ	khatakh
חַתָּךְ	khatakh
חֲתַלְתּוּל	khataltul
חָתָן	khatan
חֹתֵן	khoten
חֹתְנוֹ	chotno
טִאְטֵא	tite
טֻאְטָא	tuta
טַבָּח	tabakh
טֶבַח	tevakh
טֶבַע	teva
טַבַּעַת	tabaat
טְבֶרְיָה	tverya
טִגֵּן	tigen
טֻגַּן	tugan
טֶהֱרָאן	teheran
טֶהֱרָאנִי	teherani
טוֹב	tov
טוּב	tuv
טוואי המשי	tevay hameshi
טוּנְגְּסְטֶן	tungsten
טַוָּס	tavas
טוֹפּוֹלוֹגְיָה	topologya
טוֹרְסוֹ	torso
טוּרְקְיָה	turkya
טָחַן	takhan
טִיּוּל	tiyul
טִיט	tit
טַיָּס	tayas
טִיסָה	tisa
טִיסוֹת	tisot
טִיפּוּס	tipus
טִירָה	tira
טֵי״ת	tet
טֵית	tet
טֶכְנוֹלוֹגִי	tekhnologi
טֶכְנוֹלוֹגְיָה	tekhnologia
טַל	tal
טְלָאִים	tlaim
טֶלֶגְרָף	telegraf
טִלְגְּרֵף	tilgref
טֶלֶוִיזְיָה	televizya
טֶלֶוִיזְיוֹת	televizyot
טִלְטֵל	tiltel
טָלִין	talin
טַלִּיתוֹת	talitot
טֶלֶסְקוֹפּ	teleskop
טֵלֶסְקוֹפִּים	teleskopim
טִלְפֵּן	tilpen
טָמַן	taman
טֶנִיסַאי	tenisai
טֶנִיס שׁוּלְחָן	tenis shulkhan
טֶנִיס שֻׁלְחָן	tenis shulkhan
טֻנַּף	tunaf
טָס	tas
טֶסְט	test
טֶסְטוֹסְטֶרוֹן	testosteron
טָעוּת	taut
טָעִים	taim
טְעִימָה	tima
טַעַם	taam
טָעַם	taam
טַף	taf
טִפּוּל	tipul
טַפִּיל	tapil
טַפִּילִי	tapili
טֻפַּל	tupal
טֻפְּלוּ	tuplu
טֹפֶר	tofer
טֹפֶר	tofer
טִפֵּשׁ	tipesh
טֶקִילָה	tekila
טְרָגֶדְיָה	tragedya
טְרָגִי	tragi
טְרוֹל	trol
טָרִי	tari
טֵרִי	terry
טְרִי	tri-
טְרִיָּה	triya
טרייה	triya
טְרִיפּ	trip
טָרַף	taraf
טִרְפֵּד	tirped
יָאִיר	yair
יֵאָכֵל	yeachel
יֹאכַל	yochal
יַאלְלָה	yalla
יַאֲמִינוּ	yaaminu
יֵאָמַר	yeamar
יֹאמְרוּ	yomru
יְאֹר	yor
יָבוֹא	yavo
יְבַעֵר	yvaer
יָבֵשׁ	yavesh
י־ב־שׁ	y-b-sh
יַבֶּשֶׁת	yabeshet
יָד	yad
יְדַבֵּר	ydaber
יָדָה	yada
יָדָהּ	yadah
יָדוֹ	yado
יִדּוּעַ	yidua
יָדִיד	ydidei
יְדִידוּת	ydidut
יְדִידוּתִי	ydiduti
יָדֶיךָ	yadecha
יָדַיִם	yadayim
יָדִית	yadit
יְדָנִי	ydani
יָדַע	yada
יִדֵּעַ	yidea
יְהָב	yhav
יַהֲדוּת	yahadut
יַהֲדוּת חֲרֵדִית	yahadut kharedit
יַהֲדוּת קוֹנְסֶרְבָטִיבִית	yahadut konservativit
יְהוּדָה	yhuda
יְהוּדִי	yhudi
יְהוּדִים	yhudim
יְהוּדִית	yhudit
יהוה	yhvh
יְהוֹשֻׁעַ	yhoshua
יְהִי	yhi
יִהְיֶה	yihye
יָהִיר	yahir
יוֹבֵל	yovel
יוּבַל	yuval
יוֹ״ד	yod
יוֹד	yod
יוֹדֵעַ	yodea
יוּלִי	yuli
יוֹם־הֻלֶּדֶת	yom-huledet
יוֹם שִׁשִּׁי	yom shishi
יוֹמוּלֶדֶת	yomuledet
יוֹמָן	yoman
יָוָן	yavan
יוֹן	yon
יוֹנוֹסְפֶרָה	yonosfera
יוּנִי	yuni
יְוָנִי	yvani
יְוָנִית	yevanit
יְוָנִית	yvanit
יוֹנֵק	yonek
יוֹנַת	yonat
יוֹנָתָן	yonatan
יוֹסִי	yosi
יוֹסֵף	yosef
יוֹצֵא	yotse
יוֹצֵאת	yotset
יוֹרֶדֶת	yored
יוֹרָה	yora
יוֹרֶה	yore
יוּרָה	yura
יוֹשֵׁב	yoshev
יוֹשֶׁבֶת	yoshevet
־ִיּוֹת	-iyot
־ִיּוּת	-iyut
־ֻיּוֹת	-uyot
יוֹתֵר	yoter
יָזִיז	yaziz
יָזְמָה	yozma
יֶזַע	yeza
יִחֵד	yikhed
יְחֶזְקֵאל	yekhezkel
יְחִי	ykhi
יְחִידָה	yehida
יַחַס	yakhas
יְיָ	yy
יִידִישׁ	yidish
יַיִן	yayin
יֵינוֹת	yenot
יְכוֹלֶת	ykholet
יַכְטָה	yakhta
יָכֹל	yakhol
יָכְלָה	yachla
יָלַד	yalad
יַלְדָּה	yalda
יָלְדָה	yalda
יַלְדוּת	yaldut
יִלְדֵי	yilde
יְלָדִים	yladim
יַלֶּדְכֶן	yaledchen
יָלִיד	yalid
יְלִידֵי	ylidei
יַם סוּף	yam suf
יַמַּאי	yamai
יְמֵי הַבֵּינַיִם	ymei habeinayim
יַמִּים	yamim
יָמִים	yamim
יָמִים טוֹבִים	yamim tovim
יְמָמָה	yemama
יָנוּאָר	yanuar
יָנַק	yanak
יַנְקוּת	yanqut
יַנְשׁוּף	yanshuf
יִסֵּד	yised
יְסוֹד	yesod
יִסּוּד	yisud
יָעֶה	yae
יְעִילוּת	yilut
יָעֵל	yael
יָעֵל	yael
יִעֵל	yiel
יֹעַל	yoal
יַעֲנוּ	yaanu
יְעַנּוּ	yanu
יַעְנִי	yani
יַעַר	yaar
יַעֲשֶׂה	yaase
יֵּעָשֶׂה	yease
יְפֵהפֶה	yfefe
יֹפִי	yofi
יָפָּנִית	yapanit
יִפְרֶה	yifre
יִפְרֹץ	yifrots
יָצָא	yatsa
יֹצְאֵי	yotse
יִצְחַק	yitskhak
יָצַר	yatsar
יֵצֶר	yetser
יָקוּם	yakum
יְקוּם	yekum
יִקּוֹם	yikom
יָקָר	yakar
יִקָּרֵא	yikare
יִקְרָא	yikra
יָרֵא	yare
יֵרָאוּ	yerau
יַרְבֶּה	yarbe
יִרְבֶּה	yirbe
יְרוּשָׁלַיִם	yerushalayim
יְרוּשָׁלַ͏ִם	yrushalayim
יְרוּשָׁלֵם	yrushalem
יָרֵחַ	yareakh
יְרֵחִי	yrekhi
יֶרִי	yeri
יְרִיחוֹ	yrikho
יְרִיעָה	yeria
יִרְמְיָהוּ	yirmyahu
יָרַק	yaraq
יָרָק	yaraq
יָרֹק	yarok
יָרֹק	yaroq
יְרַקְרַק	yrakrak
יָרַשׁ	yarash
יְרֻשָּׁה	yrusha
יֵשׁ	yesh
יש;	yesh
יַשֵּׁב	yashev
יִשֵּׁב	yishev
י־שׁ־ב	y-sh-b
יִשּׁוּב	yishuv
יִשּׂוּם	yisum
יֵשׁוּעַ	yeshua
יְשִׁיבוֹת	yshivot
יְשִׁיבַת	yshivat
יָשִׂימוּ	yasimu
יש ל־ ג׳וק בראש	yesh l- juk ba-rosh
יִשְׁמָעֵאל	yishmael
יָשָׁן	yashan
יָשֵׁן	yashen
יָשָׁן נוֹשָׁן	yashan noshan
יְשַׁעֲיָהוּ	ysaayahu
יָשָׁר	yashar
יֹשֶׁר	yosher
יִשְׂרְאֵלִי	yisreli
יִשְׂרְאֵלִיּוֹת	yisreliyot
יִשְׂרְאֵלִים	yisrelim
יִשְׂרְאֵלִית	yisrelit
יִשְׁרְצוּ	yishrtsu
יִשָּׂשכָר	yisakhar
יָתֵד	yated
יִתֵּן	yiten
יֻתַּן	yutan
יֶתֶר	yeter
יִתְרוֹן	yitaron
כְּ־	k-
כְּאֵב	keev
כְּאֵב רֹאשׁ	keev rosh
כְּאִלּוּ	kilu
כָּאן	kan
כָּבֵד	kaved
כִּבֵּד	kibed
כָּבוֹד	kavod
כִּבְיָכוֹל	kivyakhol
כְּבִיסָה	kvisa
כִּבֵּס	kibes
כְּבָר	kvar
כָּבַשׁ	kavash
כֶּבֶשׂ	keves
כֶּבֶשׁ	kevesh
כַּד	kad
כְּדַאי	kdai
כַּדּוּרִים	kadurim
כַּדּוּר סַל	kadursal
כַּדּוּרְסַל	kadursal
כַּדּוּרְעָף	kaduraf
כַּדּוּר פּוֹרֵחַ	kadur poreakh
כְּדֵי	kde
כֹּה	ko
כֵּהֶה	kehe
כְּהֻנָּה	khuna
כּוֹבַע	kova
כּוֹבָעִים	kovaim
כּוּזָרִים	kuzarim
כּוֹכָב	kokhav
כּוֹכְבֵי לֶכֶת	kochve lechet
כּוֹכַב יָם	kokhav yam
כּוֹכָבִית	kokhavit
כּוֹכַב לֶכֶת	kokhav lekhet
כּוֹלֵל	kolel
כִּוֵּן	kiven
כּוֹנָן	konan
כּוֹנֵן	konen
כּוֹנָן קָשִׁיחַ	konan kashiakh
כּוֹס	kos
כּוֹסוֹת	kosot
כּוּסְכּוּס	kuskus
כּוֹר	kor
כּוּר	kur
כַּוֶּרֶת	kaveret
כּוֹרֵת עֵצִים	koret etsim
כּוּשִׁי	kushi
כּוֹתֵב	kotev
כָּזַב	kazav
כִּזֵּב	kizev
כֹּחַ	koach
כֹּחוֹת	kokhot
כְּחַלְחַל	kkhalkhal
כִּי	ki
כִּידוֹן	kidon
כידון רובה	kidon rovee
כִּיּוֹר	kiyor
כִימְיָה	khimya
כִּיֵּס	kiyes
כֵּיף	keif
כִּכֵב	kikhev
כָּכָה	kacha
כִּכָּר	kikar
כֹּל	kol
כָּלָא	kala
כֶּלֶא	kele
כֶּלֶב	kelev
כַּלְבָּה	kalba
כְּלָבוֹת	klavot
כֶּלֶב יָם	kelev-yam
כֶּלֶב כְּנַעֲנִי	kelev kenaani
כְּלַבְלָבִים	klavlavim
כֶּלֶב נָהָר	kelev nahar
כַּלֶּבֶת	kalevet
כַּלָּה	kala
כָּלָה	kala
כִּלָּה	kila
כָּלוּא	kalu
כְּלוּב	kluv
כְּלוּם	klum
כְּלִי	kli
כְּלִי־דָּם	kli-dam
כְּלִי זַיִן	kli zayin
כְּלִי טַיִס	kli tayis
כְּלִי נֶשֶׁק	kli nesheq
כְּלָל	klal
כל עוד	kol od
כַּמָּה	kama
כָּמַהּ	kamah
כָּמֵהַּ	kameah
כַּמּוּת	kamut
כְּמוֹת	kmot
כִּמְעַט	kimat
כֹּמֶר	komer
כֵּן	ken
כִּנּוֹר	kinor
כְּנִיסָה	knisa
כֶּנֶס	kenes
כְּנֵסִיָּה	knesia
כנסיית	knesiyat-
כְּנֶסֶת	kneset
כְּנַעֲנִי	knaani
כְּנַעֲנִית	knaanit
כָּנָף	kanaf
כּנר	khanar
כַּנִּרְאֶה	kanire
כִּנֶּרֶת	kineret
כֵּס	kes
כִּסֵּא	kise
כִּסּוּי	kisui
כִּסּוּפִים	kisufim
כַּסְכּוּסִים	kuskusim
כִּסְלֵו	kislev
כֻּסֶּמֶת	kusemet
כַּסְפּוֹמַט	kaspomat
כַּסְפִּית	kaspit
כַּסְתָּ״ח	kastah
כַּעַס	kaas
כַּף אַשְׁפָּה	kaf ashpa
כֵּף הַתִּקְוָה הַטּוֹבָה	kaf hatikva hatova
כָּפָה	kafa
כָּפָה	kafa past tense, kafa present tense
כַּפָּהּ	kapah
כִּפָּה	kipa
כָּפוּ	kafu
כָּפוּ	kafu
כְּפוּלָה	kfula
כְּפוּלִים	kfulim
כְּפוֹר	kfor
כִּפּוּר	kipur
כְּפִיר	kfir
כַּפִּית	kapit
כָּפַל	kafal
כֵּפֶל	kefel
כִּפְפַת אִגְרוּף	kiffat igruf
כְּפָר	kfar
כַּפָּרָה	kapara
כְּפַר סָבָא	kfar sava
כָּרָגִיל	ka-ragil
כָּרֶגַע	karega
כָּרָה	kara
כְּרוּב	kruv
כְּרוּכִית	krukhit
כַּרְטִיס	kartis
כַּרְטִיס אַשְׁרַאי	kartis ashrai
כְּרִיכָה	krikha
כְּרִיסְטְמַס	kristmas
כָּרִישׁ	karish
כָּרִית	karit
כַּרְמֶל	karmel
כָּרַע	kara
כָּרַת	karat
כְּשֶׁ־	kshe-
כִּשָּׁלוֹן	kishalon
כָּתַב	katav
כְּתָב	ktav
כְּתֻבָּה	ktuba
כָּתוּב	katuv
כְּתוּבָה	ktuva
כְּתוֹבֶת	ktovet
כְּתִיב	ktiv
כְּתִיבָה	ktiva
כֹּתֶל	kotel
כָּתֹם	katom
כְּתֹנֶת	ktonet
כָּתֵף	katef
כֶּתֶר	keter
כִּתֵּר	kiter
כִּתַּת יוֹרִים	kitat-yorim
לֹא	lo
לֹּא בָּרָא הַשָּׂטָן	lo bara hasatan
לֵאָה	lea
לֶאֶהוֹב	leehov
לְאַחַר	lakhar
לְאַט	lat
לְאֹם	lom
לֹא מִדֻּבְשְׁךָ וְלֹא מֵעֻקְצְךָ	lo miduvshkha vlo meuktskha
לְאֻמִּי	lumi
לְאֻמִּיּוּת	lumiyut
לֵאמֹר	lemor
לְאָן	lan
לֵב	lev
לֵבָב	levav
לִבֵּב	libev
לְבַד	lvad
לִבּוֹ	libo
לָבִיא	lavi
לְבִיָּא	lviya
לְבִיבָה	leviva
לַבְלַב	lavlav
לָבָן	lavan
לִבֵּן	liben
לֻבֵּן	luban
לְבַנְבַּן	lvanban
לַבָּנֶה	labane
לִבְנֶה	livne
לְבָנָה	lvana
לְבָנָה	lvana
לְבֵנָה	lvena
לְבָנוֹן	lvanon
לִבְנוֹת	livnot
לְבָנוֹת	lvanot
לֶבַנְטִינִי	levantini
לְבָנִים	lvanim
לִבְרוֹא	livro
לַבְּרִיאוּת	labriut
לְבָרֵךְ	lvarekh
לָבַשׁ	lavash
לְגַבֵּי	lgabei
לִגְלוֹת	liglot
לְגַמְרֵי	lgamre
לִגְנֹב	lignov
לָדִינוֹ	ladino
לָהּ	lah
לֶהָבָה	lehava
לְהִגָּמֵר	lhigamer
לַהַט	lahat
לָהַט	lahat
לָהֶם	lahem
לְהַפְרִיעַ	lhafria
לְהַצִּילוֹ	lhatsilo
לְהַצְלִיחַ	lhatsliach
לְהָרְגֵנִי	lhorgeni
לְהָרִיחַ	lhariakh
לְהַשְׁקוֹת	lhashkot
לְהִתְוַכֵּח	lhitvakeach
לְהִתְרָאוֹת	lhitraot
לוּ	lu
לוּב	luv
לוֹגוֹ	logo
לוֹד	lod
לוּחוֹת	lukhot
לוּחַ שָׁנָה	luakh shana
לֵוִי	levi
לְוִיִּם	lviyim
לַוְיָן	lavyan
לוֹנְדּוֹן	london
לְחִי	lekhi
לִחְיוֹת	likhyot
לְחִימָה	lekhima
לֶחֶם	lekhem
לַחְמָנִיָּה	lakhmaniya
לַחַן	lakhan
לַחֲנוֹק	lakhanok
לְחַפֵּשׂ	lkhapes
לָחַץ	lakhatz
'''לְטָאָה'''	ltaah
לִטֵּף	litef
לִי	li
לִיבִּידוֹ	libido
לְיַד־	lyad-
לְיָדָהּ	lyada
לֵיְזֶר	leizer
לִיטָא	lita
לִיטָאִי	litai
לַיְלָה	layla
לֵילוֹת	leilot
לִימוֹן	limon
לִימוֹנָדָה	limonada
לִינְק	link
לִיסְבּוֹן	lisbon
לֵית בְּרֵרָה	leyt berera
לִיתוֹגְרַפְיָה	litografia
לִיתְיוּם	lityum
לִכְבוֹד	likhvod
לִּכּוּד	likud
לִכּוּדְנִיק	likudnik
לִכְלוּךְ	likhlukh
לִכְלֵךְ	likhlekh
לְכָל שַׁבָּת יֵשׁ מוֹצָאֵי שַׁבָּת	lechol shabat yesh motzaei shabat
לִכְתּוֹב	likhtov
לְלֹא	llo
לָלֶכֶת	lalekhet
לְ־, לִ־, לַ־, לֶ־, לָ־, לֵ־, לוֹ־	l-, li-, la-, le-, la-, le-, lo-
לָם	lam
לָמַד	lamad
לָמֶד	lamed
לִמֵּד	limed
לַמְדָנִי	lamdani
לָמָּה זֶה	lama ze
לְמוּאֵל	lmuel
לִמּוּד	limud
לִמּוּדִים	limudim
לֶמוּר	lemur
לְמִידָה	lmida
לְמַעְלָה	lmala
לְמַעַן	lmaan
לְמַעַן הַשֵּׁם	lemaan hashem
לַמְרוֹת	lamrot
לָנוּ	lanu
לָנוּחַ	lanuakh
לִסְלוֹחַ	lisloakh
לַעֲבֹד	laavod
לְעוֹלָם	lolam
לַעֲזָאזֵל	laazazel
לָעַס	laas
לַעֲשׂוֹת	laasot
לְעִתִּים קְרוֹבוֹת	leitim krovot
לְפִי־	lfi-
לַפִּיד	lapid
לְפִיו	lfiv
לִפְעָמִים	lifamim
'''לֶפֶת'''	lefet
לֵק	leq
לָקָה	laka
לָקַח	lakakh
לְקַלְקֵל	lkalkel
לְקַנֵּא	lkane
לִקֵּק	likek
לֻקַּק	lukak
לֻקַּק	lukak
לִרְאוֹת	lirot
לָרוּץ	laruts
לִרְחֹץ	lirchots
לָרִיב	lariv
לָשֶׁבֶת	lashevet
לָשׁוּב	lashuv
לָשׁוֹן	lashon
לָשׁוֹן הָרַע	lashon hara
לְשׁוֹנוֹת	lshonot
לְשַׁחְרֵר	lshakhrer
לְשַׁלְּחוֹ	lshalcho
לִשְׁתּוֹת	lishtot
מַאֲבָק	maavak
מְאֹד	mod
מַאֲהָל	maahal
מְאַוְרֵר	mavrer
מְאוּשְׁכָּן	mushkan
מֵאוֹת	meot
מֵאָז	meaz
מְאֻחָד	mukhad
מְאֲחוֹרֵי	meakhorei
מְאֻחָר	mukhar
מַאי	may
מֵאַיִן	meayin
מֵאִיר	meir
מְאֻכְזָב	mukhzav
מַאֲכָל	maakhal
מְאֻכְלָס	mukhlas
מָאמִי	mami
מַאֲמָץ	maamats
מְאַמֵּץ	mamets
מַאֲמָר	maamar
מְאֻנָךְ	meunakh
מָאַס	maas
מַאֲפִיַּת	maafiyat
מְאֻשָּר	mushar
מְאֻשֶׁרֶת	musheret
מְאַת־	mat-
מָאתַיִם	matayim
מֵאִתָּנוּ	meiitanu
מְבֻגָּר	mevugar
מַבְדִּיל	mavdil
מַבּוּל	mabul
מְבוּשִׁים	mvushim
מַבָּט	mabat
מֵבִין	mevin
מְבֻיָּת	mvuyat
מְבֻלְבָּל	mvulbal
מִבְנֶה	mivne
מְבַקְשִׁים	mvakshim
מִבְרָשׁוֹת	mivrashot
מְבַשֵּׂר	mvaser
מָג	mag
מַגֶּבֶת	magevet
מֶגֶד	meged
מֻגְדָּל	mugdal
מִגְדָּל בָּבֶל	migdal bavel
מִגְדָּלָהּ	migdalah
מַגְהֵץ	maghetz
מְגֻוָּן	mguvan
מִגְוָן	migvan
מגידי שיעור	magidei-shiur
מַגָּל	magal
מְגִלָּה	mgila
מָגֵן	magen
מָגֵן אֲשָׁכִים	magen ashakhim
מָגֵן בֵּיצִים	magen beytsim
מַגְנֵט	magnet
מַגְנֵטִי	magneti
מַגְנֵטִיּוּת	magnetiut
מָגִנֵּי אֲשָׁכִים	maginei ashakhim
מִגְרָעָה	migraa
מַדָּד	madad
מָדַד	madad
מַדּוּעַ	madua
מְדוּרָה	medura
מַדְחֹם	madhom
מָדַי	maday
מִדֵּי	midey
מָדִינָה	madina
מְדִינָה	mdina
מְדִינוֹת	mdinot
מְדִינַת	mdinat
מַדָּע	mada
מַדְּעֵי הַרוּחַ	madei ha-ruach
מַדְעָן	madan
מַדְפֶּסֶת	madpeset
מַדְרִיד	madrid
מַדְרִיךְ	madrikh
מָה	ma
מְהַגֵּר	mhager
מָהִיר	mahir
מְהִירוֹת	mhirot
מְהִירוּת	mhirut
מַה לַּעֲזָאזֵל	ma laazazel
מְהַנְדֵּס	mhandes
מה עניין שמיטה אצל הר סיני	ma inyan shmita etzel har sinay
מַהֵר	maher
מִהַרְתֶּן	miharten
מַה שְּׁלוֹמֵךְ	ma shlomekh
מוּבָן	muvan
מוֹדִיעִין עִלִּית‎	modiin ilit
מוֹדֶם	modem
מוֹדָעָה	modaa
מוֹדַעַת אֵבֶל	modaat evel
מוֹדֶרְנִית	modernit
מוֹהֵל	mohel
מוּזִיקָה	muzika
מוּזָר	muzar
מוֹט	mot
מוּטָב	mutav
מוֹטֵט	motet
מוּכָן	mukhan
מוֹכֵר	mokher
מוֹל	mol
מוּל	mul
מוֹלֶדֶת	moledet
מוּם	mum
מוֹנוֹתֵאִיזְם	monoteizm
מוֹנִיּוֹת	moniyot
מוֹנִיטִין	monitin
מוֹנִית	monit
מוֹסְקְבָה	moskva
מוֹרֵד	mored
מוֹרִים	morim
מוּשְט	musht
מָוֶת	mavet
מָזַג	mazag
מִזֵּג	mizeg
מֻזַּג	muzag
מֶזֶג־אֲוִיר	mezeg-avir
מַזְגָן	mazgan
מְזֹהָם	mzoham
מִזּוּג	mizug
מִזְוָדָה	mizvada
מְזוּזָה	mzuza
מֵזַח	mezakh
מְזֻיָּף	mezuyaf
מַזְכִּיר	mazkir
מַזָּל	mazal
מַזְלֵג	mazleg
מְזַמֵּן	mzamen
מְזֻמָּן	mzuman
מְזַעֲזֵעַ	mzaazea
מְזֻעְזָע	mzuza
מִזְרָח	mizrakh
מַחְבּוֹא	makhbo
מַחְבֵּט	makhbet
מְחַבֵּל	mkhabel
מְחֻבָּר	mkhubar
מַחֲבַת	makhavat
מָחוֹג	makhog
מֶחֱוָה	mekheva
מְחוֹזוֹת	mkhozot
מְחוֹזִי	mkhozi
מַחֲזֶה	makhaze
מַחְזוֹר	makhzor
מַחֲזֶמֶר	makhazemer
מַחַט	makhat
מְחֻיָּב	mkhuyav
מְחִיקוֹן	mekhikon
מְחִירִים	mchirim
מַחְלָבָה	makhlava
מֻחְלָט	mukhlat
מַחְמָד	makhmad
מֻחַמַּד	mukhammad
מַחְמִיר	makhmir
מחנה ריכוז	mahane-rikkuz
מַחֲנַיִם	makhanayim
מַחְסָן	makhsan
מֹחַ עֶצֶם	moah etzem
מְחֻפָּשׁ	mkhupash
מַחַק	makhak
מָחַק	makhak
מֶחְקָר	mekhkar
מֶחְקָרִים	mechkarim
מָחָר	makhar
מָחָר כָּךְ	makhar kakh
מָחֳרָתַיִם	mokhoratayim
מַחְשֵׁב	machshev
מַחְשָׁבָה	makhshava
מַחְשְׁבוֹן	makhshvon
מַחֲשָׁבוֹת	makhshavot
מְחֻתָּן	mkhutan
מַחְתֶּרֶת	makhteret
מִטְבָּחִים	mitbakhim
מַטְבֵּעַ חוּץ	matbea khuts
מַטְבֵּעַ לָשׁוֹן	matbea lashon
מטֻגָּן	mtugan
מַטָּה	mata
מַטֶּה	mate
מִטָּה	mita
מָטוֹס	matos
מַטָּלָה	matala
מְטַמְטֵם	mtamtem
מִטְמָנָה	mitmana
מִטְעָן	mitan
מְטֻפָּל	mtupal
מָטַר	matar
מָטָר	matar
מַטָּרָה	matara
מִטְרִיָּה	mitriya
מֵי	me
מִי	mi
מְיֻבָּשׁ	myubash
מְיַבֵּשׁ כְּבִיסָה	meyabesh kvisa
מִיָּד	miyad
מִיָּדִי	miyadi
מִיהוּ	mihu
מָיוֹנֶז	mayonez
מֵיזָם	meizam
מְיֻזָּע	myuza
מְיֻחָד	myuchad
מְיֻחָד	myukhad
מִיכָאֵל	mikhael
מִיכָה	mikha
מִיכָיָה	mikayah
מֵיכָל	meikhal
מִיכַל	mikhal
מֵילָא	meila
מִילָה	mila
מִילְיַארְד	miliard
מִילָנוֹ	milano
מַיִם	mayim
מִימוּשׁ	mimush
מֵימֵי	meme
מֵימָן	meiman
מְיֻמָּן	meyuman
מִין	min
מִינִי	mini
מִינִיּוּת	miniyut
מִינְסְק	minsk
מִינֵרָלוֹגְיָה	mineralogya
מְיֻפֶּה־כֹּחַ	myupe-koakh
מִיץ	mits
מִיקְרוֹפוֹן	mikrofon
מִישִׁיגֶן	mishigen
מַכְאוֹב	makhov
מַכְאִיב	makhiv
מַכַּבִּי	makabi
מְכַבִּים	mchabim
מַכֶּה	make
מָכוֹן	makhon
מְכוֹנָה	mkhona
מְכוֹנִית	mkhonit
מכונת	mkhonat-
מְכוֹנַת גִּלּוּחַ	mekhonat giluakh
מְכוֹנַת כְּבִיסָה	mekhonat kvisa
מַכּוֹת	makot
מֵכִיל	mekhil
מְכִירָה	mkhira
מְכִירָה פֻּמְבִּית	mkhira pumbit
מַכְלֵב	makhlev
מִכְלוֹל	mikhlol
מִכְלָלָה	mikhlala
מֶכָנִיקָה	mekhanika
מֶכָנִיקָה קְלָסִית	mekhanika klasit
מֶכָנִיקַת	mekhanikat
מִכְנָסַיִם	mikhnasayim
מָכַר	makhar
מֻכָּר	mukar
מָכְרָה	machra
מִכְרָה	michra
מִכְרָהּ	michrah
מַכְשִׁיר	makhshir
מְכַשֵּׁף	mekhashef
מַכַּת	makat
מִכְתָּבִים	mikhtavim
מָלֵא	male
מֻלָּא	mula
מְלָאכָה	mlakha
מַלְאֲכֵי	malakhe
מַלְאָכִים	malachim
מַלְבֵּן	malben
מִלָּה	mila
מִלָּה	milla
מַלּוּחַ	maluakh
מָלוּחַ	maluakh
מְלוּכָה	mlukha
מִלּוֹנִים	milonim
מֶלַח	melakh
מָלַךְ	malakh
מֶלֶךְ‏	melekh
מַלְכֵי	malkhei
מַלְכִּי-צֶדֶק	malki-tsedek
מַלְכַּת	malkat
מַלְכַּת אֶסְתֵּר	malkat ester
מַלְמָד	malmad
מְלַמֵּד	mlamed
מִלְּעֵיל	milel
מְלָפְפוֹן יָם	mlaffon yam
מלצרים	miltzarim
מֶלְצַרִית	meltsarit
מִלְּרַע	milra
מֶם	mem
מָמוֹן	mamon
מִמּוּן	mimun
מַמְזֵר	mamzer
מֻמְחֶה	mumkhe
מַמְלֶכֶת	mamlekhet
מֻמְלָץ	mumlats
מַמְצִיא	mamtsi
מְמֻצָּע	mmutsa
מַמָּשׁ	mamash
מַמְשִׁיךְ	mamshikh
מֶמְשָׁלָה	memshala
מֶמְשָׁלוֹת	memshalot
ממשלת	memshelet
מָן	man
מִן	min
מַנְגּוֹ	mango
מַנְגִּינָה	mangina
מַנְדּוֹלִינָה	mandolina
מָנָה	mana
מָנֶה	mane
מִנְהָג	minhag
מַנְהִיג	manhig
מְנַהֵל	menahel
מְנַהֶלֶת	menahelet
מָנוֹעַ	manoa
מְנוֹרוֹת	mnorot
מַנְחֶה	manhe
מִנְחָה	minha
מְנַחֵם	mnachem
מִנַּיִן	minayin
מִנְיָן	minyan
מָנַע	mana
מְנֻקָּד	mnukad
מְנַשֶּׁה	menashe
מְנַתֵּחַ	menateakh
מְנֻתָּק	mnutak
מַס	mas
מְסִבָּה	msiba
מְסִבַּת עִתּוֹנָאִים	msibat-itonaim
מְסֻגָּל	msugal
מְסֻגָּלִים	msugalim
מִסְגֶּרֶת	misgeret
מִסְדְּרוֹן	misdron
מַסְטוּל	mastul
מַסְטִיק	mastik
מְסִילַּת בַּרְזֶל	msilat barzel
מִסִּים	misim
מַסֶּכֶת	masekhet
מַסְלוּל	maslul
מְסֻנְוָר	msunvar
מְסַנֶּנֶת	msanenet
מַסָּע	masa
מִסְעָדָוֹת	misadot
מִסְפָּר	mispar
מִסְפֵּר	misper
